regional_geocode,pop,macroregion_name,pop_max,pop_norm
29020,3132734,Nordeste,4773653,0.6562550734207115
29021,305187,Nordeste,4773653,0.06393154257337096
29022,478852,Nordeste,4773653,0.10031143864038713
29023,192681,Nordeste,4773653,0.04036342817544551
29024,304477,Nordeste,4773653,0.06378280951715594
29025,594966,Nordeste,4773653,0.1246353683436982
29026,448904,Nordeste,4773653,0.09403783643260204
29027,285199,Nordeste,4773653,0.05974439281615149
29028,713571,Nordeste,4773653,0.14948112064282845
31001,299099,Sudeste,11950472,0.025028216458730667
31002,144947,Sudeste,11950472,0.012128976997728625
31003,206395,Sudeste,11950472,0.017270865954081144
31004,190417,Sudeste,11950472,0.015933847633800572
31006,240958,Sudeste,11950472,0.020163052973974586
31007,587514,Sudeste,11950472,0.04916240965210412
31008,263359,Sudeste,11950472,0.02203753960513024
31009,129118,Sudeste,11950472,0.010804426804229992
31010,113938,Sudeste,11950472,0.009534184089130537
31011,127076,Sudeste,11950472,0.010633554892225177
31012,220148,Sudeste,11950472,0.01842169915966499
31013,229123,Sudeste,11950472,0.019172715521194476
31015,243285,Sudeste,11950472,0.020357773316401227
31016,3360867,Sudeste,11950472,0.2812329923035676
31017,750203,Sudeste,11950472,0.06277601420261894
31018,862272,Sudeste,11950472,0.07215380279540423
31019,183808,Sudeste,11950472,0.015380815084123874
31020,91613,Sudeste,11950472,0.007666057039420702
31021,234704,Sudeste,11950472,0.019639726363946126
31022,194504,Sudeste,11950472,0.016275842493919907
31023,143432,Sudeste,11950472,0.012002203762328384
31024,445280,Sudeste,11950472,0.03726045297625064
31025,350701,Sudeste,11950472,0.029346204903036466
31026,142601,Sudeste,11950472,0.011932666759940529
31027,115566,Sudeste,11950472,0.009670413017996277
31028,109798,Sudeste,11950472,0.009187754257739779
31030,124474,Sudeste,11950472,0.010415822906409052
31031,134466,Sudeste,11950472,0.011251940509128007
31032,261297,Sudeste,11950472,0.021864994119060736
31034,201575,Sudeste,11950472,0.016867534604490936
31035,224787,Sudeste,11950472,0.018809884663969757
31036,415542,Sudeste,11950472,0.03477201569946359
31037,390518,Sudeste,11950472,0.03267803982972388
31038,66518,Sudeste,11950472,0.005566139981751348
31040,84287,Sudeste,11950472,0.007053026859524879
31041,53768,Sudeste,11950472,0.004499236515511688
31042,130169,Sudeste,11950472,0.010892373121329433
31044,175238,Sudeste,11950472,0.014663688597404353
31045,170841,Sudeste,11950472,0.014295753339282331
31046,48160,Sudeste,11950472,0.004029966347772708
31047,73364,Sudeste,11950472,0.00613900438409462
31048,307594,Sudeste,11950472,0.025739067042707602
31050,45367,Sudeste,11950472,0.003796251729638796
31051,67683,Sudeste,11950472,0.0056636256710195215
31052,273710,Sudeste,11950472,0.022903697862310377
31053,113446,Sudeste,11950472,0.009493014167139172
31055,137852,Sudeste,11950472,0.011535276598279968
31057,275314,Sudeste,11950472,0.023037918502298485
31058,279034,Sudeste,11950472,0.023349203278330764
31059,356381,Sudeste,11950472,0.02982149993740833
31060,212749,Sudeste,11950472,0.01780256043443305
31061,138035,Sudeste,11950472,0.011550589800971877
31062,57171,Sudeste,11950472,0.004783995142618635
31064,80202,Sudeste,11950472,0.006711199356812016
31065,77199,Sudeste,11950472,0.006459912210998862
31066,62719,Sudeste,11950472,0.005248244588163547
31067,55988,Sudeste,11950472,0.004685003236692241
31068,65571,Sudeste,11950472,0.005486896249788293
31070,194696,Sudeste,11950472,0.016291908804940927
31071,176316,Sudeste,11950472,0.014753894239491127
31072,434621,Sudeste,11950472,0.03636852167847429
31073,193193,Sudeste,11950472,0.016166139713979497
31074,198862,Sudeste,11950472,0.016640514282615784
31075,965276,Sudeste,11950472,0.08077304394336893
31076,57076,Sudeste,11950472,0.004776045665811359
31077,72600,Sudeste,11950472,0.0060750738548234744
31078,127438,Sudeste,11950472,0.01066384658279606
31079,191780,Sudeste,11950472,0.016047901706309174
31082,104422,Sudeste,11950472,0.008737897549151196
31083,75237,Sudeste,11950472,0.006295734595252807
31084,460373,Sudeste,11950472,0.038523415644168696
31085,135572,Sudeste,11950472,0.011344489154905346
31086,357928,Sudeste,11950472,0.029950950891312077
31087,132062,Sudeste,11950472,0.01105077690655231
31088,102922,Sudeste,11950472,0.008612379494299473
31089,97691,Sudeste,11950472,0.00817465619767989
31090,72952,Sudeste,11950472,0.006104528758362013
31091,48731,Sudeste,11950472,0.004077746887319597
31092,210968,Sudeste,11950472,0.017653528663972434
31093,81414,Sudeste,11950472,0.006812617945132209
31094,167128,Sudeste,11950472,0.013985054314172695
31095,57830,Sudeste,11950472,0.004839139408050159
31096,41439,Sudeste,11950472,0.003467561783333746
31097,614950,Sudeste,11950472,0.0514582185540454
31098,66046,Sudeste,11950472,0.005526643633824673
31099,271375,Sudeste,11950472,0.022708308090257857
31100,100975,Sudeste,11950472,0.008449457059101934
31101,126632,Sudeste,11950472,0.010596401547989067
31102,98151,Sudeste,11950472,0.008213148401167754
32001,528971,Sudeste,11950472,0.04426360732864777
32002,2404802,Sudeste,11950472,0.20123071289569147
32003,425556,Sudeste,11950472,0.0356099742336537
32004,691584,Sudeste,11950472,0.057870852297716775
33001,269061,Sudeste,11950472,0.022514675570973263
33002,873407,Sudeste,11950472,0.0730855651559202
33003,336277,Sudeste,11950472,0.028139223287582282
33004,917947,Sudeste,11950472,0.07681261459798408
33005,10491301,Sudeste,11950472,0.8778984629226361
33006,2049801,Sudeste,11950472,0.17152468956874675
33007,352439,Sudeste,11950472,0.029491638489257996
33008,957566,Sudeste,11950472,0.08012788114143107
33009,963961,Sudeste,11950472,0.08066300644861558
35011,3008699,Sudeste,11950472,0.2517640307428861
35012,605130,Sudeste,11950472,0.050636493688282776
35013,1145996,Sudeste,11950472,0.09589545919190472
35014,2003332,Sudeste,11950472,0.16763622390814353
35015,2784910,Sudeste,11950472,0.2330376574247444
35016,11950472,Sudeste,11950472,1.0
35021,306205,Sudeste,11950472,0.025622837323914904
35022,202490,Sudeste,11950472,0.016944100617950486
35023,270069,Sudeste,11950472,0.022599023703833623
35031,323028,Sudeste,11950472,0.027030564148428613
35032,400684,Sudeste,11950472,0.03352871752680563
35033,294181,Sudeste,11950472,0.02461668459622348
35041,1850396,Sudeste,11950472,0.15483873775027462
35051,292248,Sudeste,11950472,0.024454933662871225
35052,146109,Sudeste,11950472,0.012226211650887095
35061,309289,Sudeste,11950472,0.02588090244469005
35062,659285,Sudeste,11950472,0.05516811386194621
35063,309505,Sudeste,11950472,0.025898977044588697
35064,333631,Sudeste,11950472,0.02791780943882384
35065,161944,Sudeste,11950472,0.013551263916605135
35071,502110,Sudeste,11950472,0.04201591368106632
35072,3241928,Sudeste,11950472,0.2712803310195614
35073,855527,Sudeste,11950472,0.07158938994208765
35074,134414,Sudeste,11950472,0.011247589216559814
35081,433665,Sudeste,11950472,0.036288524838182123
35082,152289,Sudeste,11950472,0.012743346036876201
35083,114982,Sudeste,11950472,0.009621544655307339
35091,134062,Sudeste,11950472,0.011218134313021277
35092,240969,Sudeste,11950472,0.020163973439710162
35093,392334,Sudeste,11950472,0.0328300003547977
35094,236797,Sudeste,11950472,0.0198148658898159
35095,128903,Sudeste,11950472,0.010786435883034578
35101,343506,Sudeste,11950472,0.02874413663326436
35102,366640,Sudeste,11950472,0.030679959753890894
35103,616485,Sudeste,11950472,0.05158666536351033
35104,263741,Sudeste,11950472,0.022069504869765815
35111,135204,Sudeste,11950472,0.011313695392115056
35112,416182,Sudeste,11950472,0.03482557006953366
35113,57887,Sudeste,11950472,0.004843909094134524
35114,91120,Sudeste,11950472,0.007624803438726103
35115,65120,Sudeste,11950472,0.005449157154629541
35121,284892,Sudeste,11950472,0.023839393121878365
35131,424430,Sudeste,11950472,0.03551575201381167
35132,937873,Sudeste,11950472,0.07847999643863439
35133,138808,Sudeste,11950472,0.011615273438572134
35141,337987,Sudeste,11950472,0.02828231387011325
35142,275966,Sudeste,11950472,0.023092477016807368
35143,212100,Sudeste,11950472,0.01774825295603387
35151,305699,Sudeste,11950472,0.025580495900078257
35152,53404,Sudeste,11950472,0.004468777467534337
35153,104688,Sudeste,11950472,0.00876015608421157
35154,123578,Sudeste,11950472,0.010340846788310955
35155,778360,Sudeste,11950472,0.06513215544959228
35156,102933,Sudeste,11950472,0.008613299960035051
35157,201736,Sudeste,11950472,0.016881006875711688
35161,508038,Sudeste,11950472,0.042511961033840334
35162,280506,Sudeste,11950472,0.023472378329491922
35163,1815269,Sudeste,11950472,0.15189935594175694
35171,1117185,Sudeste,11950472,0.09348459207301603
35172,467826,Sudeste,11950472,0.039147073019375304
35173,349708,Sudeste,11950472,0.029263111950724625
35174,634524,Sudeste,11950472,0.05309614549115717
41001,307350,Sul,3656522,0.08405528532304742
41002,3656522,Sul,3656522,1.0
41003,648323,Sul,3656522,0.1773059207629545
41004,167563,Sul,3656522,0.04582578745594858
41005,461502,Sul,3656522,0.1262133798183082
41006,165877,Sul,3656522,0.04536469355305397
41007,283767,Sul,3656522,0.07760571384501447
41008,388073,Sul,3656522,0.10613172845671379
41009,452045,Sul,3656522,0.1236270423096046
41010,585882,Sul,3656522,0.16022931080409197
41011,347838,Sul,3656522,0.09512810260679411
41012,294613,Sul,3656522,0.08057192052994622
41013,156471,Sul,3656522,0.04279230372468701
41014,277427,Sul,3656522,0.07587182574041672
41015,879646,Sul,3656522,0.24056904347902186
41016,383914,Sul,3656522,0.10499430879945479
41017,965838,Sul,3656522,0.26414117021584993
41018,218614,Sul,3656522,0.0597874154729549
41019,297810,Sul,3656522,0.08144624864830569
